*Customers / Projects,*Customers / Projects,CIDEON_ENG,,,,,,,,,,CIDEON_ENG,,,N
*Customers / Projects,*Customers / Projects,CIDEON_ENG,Diverse,,,,,,,,,Diverse,,,N
*Customers / Projects,*Customers / Projects,COLLINI,,,,,,,,,,COLLINI,,,N
*Customers / Projects,*Customers / Projects,COLLINI,Diverse,,,,,,,,,Diverse,,,N
*Customers / Projects,*Customers / Projects,COLLINI,Impl. Projekt,,,,,,,,,Impl. Projekt,,,N
*Customers / Projects,*Customers / Projects,CONSTANTIA,,,,,,,,,,CONSTANTIA,,,N
*Customers / Projects,*Customers / Projects,CONSTANTIA,2022 Initial Analysis of SAP HCM,,,,,,,,,2022 Initial Analysis of SAP HCM AT,,,N
*Customers / Projects,*Customers / Projects,DOKA_AG_(CH),,,,,,,,,,DOKA_AG_(CH),,,N
*Customers / Projects,*Customers / Projects,DOKA_AG_(CH),Diverse,,,,,,,,,Diverse,,,N
*Customers / Projects,*Customers / Projects,DOKA_GMBH,,,,,,,,,,DOKA_GMBH,,,N
*Customers / Projects,*Customers / Projects,DOKA_GMBH,Diverse,,,,,,,,,Diverse,,,N
*Customers / Projects,*Customers / Projects,DOKA_GMBH,DOKA AG (CH),,,,,,,,,DOKA AG (CH),,,N
*Customers / Projects,*Customers / Projects,E_Stmk,,,,,,,,,,E_Stmk,,,N
*Customers / Projects,*Customers / Projects,E_Stmk,Releaseunterstützung,,,,,,,,,Releaseunterstützung,,,N
*Customers / Projects,*Customers / Projects,E_Stmk,Spezieller Support AG,,,,,,,,,Spezieller Support AG,,,N
*Customers / Projects,*Customers / Projects,E_Stmk,Support SF,,,,,,,,,Support SF,,,N
*Customers / Projects,*Customers / Projects,EBG,,,,,,,,,,EBG,,,N
*Customers / Projects,*Customers / Projects,EBG,CN Rollout Additional Points,,,,,,,,,CN Rollout Additional Points,,,N
*Customers / Projects,*Customers / Projects,EBG,Support,,,,,,,,,Support,,,N
*Customers / Projects,*Customers / Projects,EGOKIEFER_AG,,,,,,,,,,EGOKIEFER_AG,,,N
*Customers / Projects,*Customers / Projects,EGOKIEFER_AG,HR Carve out,,,,,,,,,HR Carve out,,,N
*Customers / Projects,*Customers / Projects,EGOKIEFER_AG,SAP HCM Support,,,,,,,,,SAP HCM Support,,,N
*Customers / Projects,*Customers / Projects,ENGEL,,,,,,,,,,ENGEL,,,N
*Customers / Projects,*Customers / Projects,ENGEL,Time management,,,,,,,,,Time management,,,N
*Customers / Projects,*Customers / Projects,ENGEL_CHANGZHOU,,,,,,,,,,ENGEL_CHANGZHOU,,,N
*Customers / Projects,*Customers / Projects,ENGEL_CHANGZHOU,ENGEL CY PY and PT support,,,,,,,,,ENGEL CY PY and PT support,,,N
*Customers / Projects,*Customers / Projects,ENGEL_SHANGHAI,,,,,,,,,,ENGEL_SHANGHAI,,,N
*Customers / Projects,*Customers / Projects,ENGEL_SHANGHAI,ENGEL SH PY and PT support,,,,,,,,,ENGEL SH PY and PT support,,,N
*Customers / Projects,*Customers / Projects,ERNSTINGS_FAMILY,,,,,,,,,,ERNSTINGS_FAMILY,,,N
